valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486122200,2018,"""51 Taylors Road, Otaki""",,,8820.27
1486122300,2018,"""27 Taylors Road, Otaki""",,,1656.63
1486122400,2018,"""State Highway 1 South, Otaki""",,,5301.3
1486122401,2018,"""State Highway 1 South, Otaki""",,,871.26
1486122402,2018,"""State Highway 1 South, Otaki""",,,0
1486122600,2018,"""85 State Highway 1 North, Otaki""",,,1582.86
1486122800,2018,"""263 State Highway 1 South, Otaki""",,,1918.1
1486122900,2018,"""State Highway 1 South, Otaki""",,,2266.99
1486124000,2018,"""Forest Lakes Road, Otaki""",,,165.43
1486124100,2018,"""State Highway 1 South, Otaki""",,,1871.98
1486124200,2018,"""243 State Highway 1 North, Otaki""",,,1982.83
1486124300,2018,"""245 State Highway 1 North, Otaki""",,,1191.28
1486124501,2018,"""224 State Highway 1 North, Otaki""",,,1811.45
1486124600,2018,"""222 State Highway 1 North, Otaki""",,,2216.12
1486124700,2018,"""198-198A State Highway 1 North, Otaki""",,,3540.35
1486124800,2018,"""264/1 State Highway 1 South, Otaki""",,,2154.54
1486125000,2018,"""257 State Highway 1 North, Otaki""",,,1559.97
1486125100,2018,"""267 State Highway 1 North, Otaki""",,,1863.09
1486125200,2018,"""State Highway 1 South, Otaki""",,,1834.83
1486125300,2018,"""State Highway 1 South, Otaki""",,,1130.77
1486125500,2018,"""State Highway 1 South, Otaki""",,,2139.32
1486125600,2018,"""3 Forest Lakes Road, Otaki""",,,2501.92
1486125700,2018,"""State Highway 1 South, Otaki""",,,0
1486126000,2018,"""200 State Highway 1 North, Otaki""",,,1657
1486126100,2018,"""State Highway 1 South, Otaki""",,,1520.06
1486126200,2018,"""State Highway 1 South, Otaki""",,,675
1486126500,2018,"""178 State Highway 1 North, Otaki""",,,2074.12
1486126600,2018,"""170 State Highway 1 North, Otaki""",,,1982.37
1486126700,2018,"""190 State Highway 1 North, Otaki""",,,1429.1
1486126800,2018,"""184 State Highway 1 North, Otaki""",,,5183.7
1486127000,2018,"""State Highway 1 South, Otaki""",,,1197.18
1486127100,2018,"""114 State Highway 1 North, Otaki""",,,5279.89
1486127500,2018,"""94 State Highway 1 South, Otaki""",,,6700.16
1486127600,2018,"""82 State Highway 1 North, Otaki""",,,2101.78
1486127700,2018,"""84 Main Highway, Otaki""",,,2347.91
1486128000,2018,"""54 State Highway 1 North, Otaki""",,,2431.17
1486128001,2018,"""State Highway 1 North, Otaki""",,,523.71
1486128100,2018,"""12 Waitohu Valley Road, Otaki""",,,2872.02
1486128300,2018,"""8 Waitohu Valley Road, Otaki""",,,2629.98
1486128400,2018,"""26 Waitohu Valley Road, Otaki""",,,2082.97
1486128500,2018,"""46 Waitohu Valley Road, Otaki""",,,3226.54
1486128600,2018,"""102 Waitohu Valley Road, Otaki""",,,4123.31
1486129000,2018,"""106 Waitohu Valley Road, Otaki""",,,2974.11
1486129100,2018,"""Waitohu Valley Road, Otaki""",,,3112.15
1486129200,2018,"""108 Waitohu Valley Road, Otaki""",,,2541.51
1486129300,2018,"""110 Waitohu Valley Road, Otaki""",,,2897.79
1486129400,2018,"""112 Waitohu Valley Road, Otaki""",,,2784.98
1486130000,2018,"""118 Waitohu Valley Road, Otaki""",,,2613.18
1486130100,2018,"""15 Greenwood Boulevard, Otaki""",,,2844.62
1486130200,2018,"""19 Greenwood Boulevard, Otaki""",,,2959.59
1486130300,2018,"""35 Greenwood Boulevard, Otaki""",,,2965.51
1486130400,2018,"""51 Greenwood Boulevard, Otaki""",,,205.86
1486130500,2018,"""61 Greenwood Boulevard, Otaki""",,,3099.91
1486130600,2018,"""73 Greenwood Boulevard, Otaki""",,,3550.8
